#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 359  7.7  9.2  2.65 12.90  7.79 313 1020.0  11.9  12.1 999.0 99.0 99.00
2012 01 01 00 50 346  7.1  8.4  2.89 10.81  8.39 302 1020.0  12.6  12.0 999.0 99.0 99.00
2012 01 01 01 50   7  7.3  9.0  2.82 12.90  8.60 296 1020.0  13.0  12.0 999.0 99.0 99.00
2012 01 01 02 50  15  7.5  9.5  2.74 12.90  8.27 305 1019.8  13.1  12.0 999.0 99.0 99.00
2012 01 01 03 50 360  5.6  6.7  2.97 12.12  8.34 306 1020.0  12.7  12.0 999.0 99.0 99.00
2012 01 01 04 50  10  4.9  5.9  2.71 11.43  8.41 307 1019.9  12.7  12.0 999.0 99.0 99.00
2012 01 01 05 50  21  5.7  6.9  2.78 12.12  8.46 309 1019.8  13.0  11.9 999.0 99.0 99.00
2012 01 01 06 50  18  4.5  5.3  2.53 12.12  8.18 310 1020.0  12.6  11.9 999.0 99.0 99.00
2012 01 01 07 50  37  6.3  7.4  2.25 12.12  8.04 320 1019.8  12.8  11.9 999.0 99.0 99.00
2012 01 01 08 50  33  6.7  8.0  2.42 13.79  8.50 302 1019.7  12.5  11.9 999.0 99.0 99.00
2012 01 01 09 50  31  8.0  9.4  2.41 12.90  8.74 307 1019.2  12.3  11.9 999.0 99.0 99.00
2012 01 01 10 50  40  8.5 10.4  2.46 11.43  8.56 306 1018.9  12.6  11.9 999.0 99.0 99.00
2012 01 01 11 50  40  8.5 10.3  2.35 12.90  8.03 299 1019.1  12.4  11.9 999.0 99.0 99.00
2012 01 01 12 50  49  6.1  7.4  2.34 12.90  7.67 292 1018.9  12.4  11.9 999.0 99.0 99.00
2012 01 01 13 50  57  4.8  6.3  2.61 12.90  8.04 303 1019.1  12.6  11.9 999.0 99.0 99.00
2012 01 01 14 50  83  6.6  8.3  2.30 13.79  7.17 288 1019.5  12.8  11.9 999.0 99.0 99.00
2012 01 01 15 50 127  2.0  3.2  2.16 13.79  7.64 297 1020.4  12.1  11.8 999.0 99.0 99.00
2012 01 01 16 50 135  1.8  3.4  2.20 12.90  7.81 292 1021.0  12.5  11.8 999.0 99.0 99.00
2012 01 01 17 50  97  2.6  3.7  1.91 11.43  7.81 308 1021.2  12.4  11.9 999.0 99.0 99.00
2012 01 01 18 50  40  1.5  2.3  2.23 12.90  8.41 311 1021.1  12.1  12.0 999.0 99.0 99.00
2012 01 01 19 50  35  0.1  0.6  2.00 12.90  7.65 273 1020.2  12.5  12.1 999.0 99.0 99.00
2012 01 01 20 50  12  0.4  0.8  2.10 13.79  8.10 274 1019.6  12.6  12.2 999.0 99.0 99.00
2012 01 01 21 50  87  1.3  2.1  1.69 12.90  7.16 276 1019.1  13.0  12.3 999.0 99.0 99.00
2012 01 01 22 50 113  2.9  3.7  1.56 12.12  6.62 292 1018.7  13.7  12.5 999.0 99.0 99.00
2012 01 01 23 50  78  2.6  3.6  1.41 13.79  6.70 295 1018.6  13.3  12.3 999.0 99.0 99.00
2012 01 02 00 50 137  2.3  3.3  1.42 12.90  7.19 295 1019.1  13.5  12.2 999.0 99.0 99.00
2012 01 02 01 50 134  4.7  5.9  1.50 10.81  7.94 303 1019.1  13.8  12.1 999.0 99.0 99.00
2012 01 02 02 50 136  4.0  4.9  1.47 12.90  8.07 295 1019.6  13.1  12.0 999.0 99.0 99.00
2012 01 02 03 50 139  4.5  5.5  1.27 11.43  7.61 287 1020.1  12.9  11.9 999.0 99.0 99.00
2012 01 02 04 50 164  6.4  8.8  1.16 12.12  7.13 258 1020.3  12.0  11.9 999.0 99.0 99.00
2012 01 02 05 50 164  8.7 10.5  1.12 12.12  6.08 294 1021.0  10.5  11.9 999.0 99.0 99.00
2012 01 02 08 50 154  9.0 10.9  1.37 12.12  4.94 221 1021.4  11.3  11.8 999.0 99.0 99.00
2012 01 02 09 50 156  8.5 10.2  1.51 12.12  5.45 261 1021.9  11.3  11.9 999.0 99.0 99.00
2012 01 02 10 50 163  7.4  9.2  1.33 11.43  5.12 263 1022.1  11.3  11.9 999.0 99.0 99.00
2012 01 02 11 50 170  7.4  8.7  1.33  5.00  5.21 173 1022.8  11.3  11.9 999.0 99.0 99.00
2012 01 02 12 50 177  6.1  7.6  1.31 12.12  5.61 237 1023.5  11.5  11.9 999.0 99.0 99.00
2012 01 02 13 50 138  5.3  6.5  1.12 11.43  5.22 258 1023.2  11.6  11.9 999.0 99.0 99.00
2012 01 02 14 50 145  5.5  7.1  1.16 12.12  5.56 288 1024.3  11.7  11.9 999.0 99.0 99.00
2012 01 02 15 50 148  6.1  7.8  1.18 12.90  5.87 226 1024.8  11.6  11.9 999.0 99.0 99.00
2012 01 02 16 50 147  5.6  6.8  1.11 12.12  5.66 255 1026.0  11.7  11.9 999.0 99.0 99.00
2012 01 02 17 50 136  4.7  5.5  1.08 11.43  5.84 283 1026.6  11.7  11.9 999.0 99.0 99.00
2012 01 02 18 50 159  3.7  4.4  1.03 12.12  5.90 279 1026.6  11.8  11.9 999.0 99.0 99.00
2012 01 02 19 50 180  2.2  3.2  1.02 10.81  6.38 277 1026.0  11.9  11.9 999.0 99.0 99.00
2012 01 02 20 50 164  1.4  1.8  1.10 10.81  6.64 275 1025.1  11.9  11.9 999.0 99.0 99.00
2012 01 02 21 50 169  0.8  1.5  1.17 11.43  7.09 268 1024.7  12.2  12.0 999.0 99.0 99.00
2012 01 02 22 50 312  1.6  2.4  1.28 11.43  7.56 274 1024.7  11.9  12.2 999.0 99.0 99.00
2012 01 02 23 50 348  1.9  2.4  1.37 11.43  8.14 270 1024.6  12.0  12.2 999.0 99.0 99.00
2012 01 03 00 50 319  2.9  3.6  1.83 11.43  8.76 295 1024.9  11.9  12.2 999.0 99.0 99.00
2012 01 03 01 50 335  2.7  3.7  1.94 10.00  8.63 278 1025.1  11.7  12.0 999.0 99.0 99.00
2012 01 03 02 50 338  2.4  3.4  2.25 10.00  8.67 277 1025.1  11.8  12.0 999.0 99.0 99.00
2012 01 03 03 50 317  3.8  5.4  2.49  9.09  8.57 267 1025.9  12.2  12.0 999.0 99.0 99.00
2012 01 03 04 50 317  5.1  6.7  2.73 10.00  8.97 277 1026.2  11.9  11.9 999.0 99.0 99.00
2012 01 03 05 50 343  4.4  5.6  2.95 10.00  8.99 273 1026.2  11.6  11.9 999.0 99.0 99.00
2012 01 03 06 50 330  4.5  6.0  2.30 10.00  8.46 268 1026.4  11.4  12.0 999.0 99.0 99.00
2012 01 03 07 50 326  6.9  9.1  2.23 10.00  8.73 277 1026.8  11.5  12.2 999.0 99.0 99.00
2012 01 03 08 50 339  5.5  7.0  2.38 11.43  9.04 281 1026.6  11.1  12.2 999.0 99.0 99.00
2012 01 03 09 50 339  5.1  6.4  2.37 17.39  9.48 280 1026.5  10.6  12.2 999.0 99.0 99.00
2012 01 03 10 50 327  6.3  7.7  2.73 12.90  9.71 285 1027.1  10.2  12.0 999.0 99.0 99.00
2012 01 03 11 50 329  6.4  8.5  3.51 16.00 10.60 286 1026.8  10.1  12.0 999.0 99.0 99.00
2012 01 03 12 50 344  6.4  8.0  3.54 13.79 10.27 285 1026.4   9.8  12.1 999.0 99.0 99.00
2012 01 03 13 50 345  6.6  8.0  3.82 16.00 10.86 294 1026.2   9.6  12.0 999.0 99.0 99.00
2012 01 03 14 50 343  6.3  8.0  3.74 16.00 10.74 285 1026.5   9.9  12.0 999.0 99.0 99.00
2012 01 03 15 50 337  6.2  8.2  4.42 16.00 11.76 286 1027.0   9.6  12.2 999.0 99.0 99.00
2012 01 03 16 50 357  6.7  8.3  3.76 14.81 10.44 291 1027.5   9.6  12.2 999.0 99.0 99.00
2012 01 03 17 50 348  6.8  8.4  4.10 13.79 10.92 286 1028.1   9.5  12.3 999.0 99.0 99.00
2012 01 03 18 50 332  6.7  8.2  3.28 14.81 10.36 286 1027.7   9.8  12.3 999.0 99.0 99.00
2012 01 03 19 50 330  7.5  8.7  3.15 12.12  9.55 285 1026.9   9.5  12.3 999.0 99.0 99.00
2012 01 03 20 50 335  7.3  8.3  3.39 14.81 10.03 282 1025.8  10.0  12.3 999.0 99.0 99.00
2012 01 03 21 50 323  8.5  9.7  3.35 16.00 10.25 283 1025.6  10.0  12.2 999.0 99.0 99.00
2012 01 03 22 50 322  8.4  9.6  3.36 14.81  9.77 286 1025.4   9.6  12.2 999.0 99.0 99.00
2012 01 03 23 50 330  7.0  8.6  3.21 13.79  9.56 286 1025.5  10.5  12.0 999.0 99.0 99.00
2012 01 04 00 50 319  7.6  8.9  3.66 14.81 10.47 280 1025.6  11.3  12.0 999.0 99.0 99.00
2012 01 04 01 50 317  7.6  9.2  3.29 14.81  9.91 287 1025.8  10.9  12.0 999.0 99.0 99.00
2012 01 04 02 50 328  7.9  9.9  3.26 12.90  9.64 281 1026.4  11.7  11.9 999.0 99.0 99.00
2012 01 04 03 50 332  7.5  9.3  2.81 12.12  9.04 281 1026.7  11.6  11.9 999.0 99.0 99.00
2012 01 04 04 50 329  7.2  8.9  3.11 13.79  9.31 294 1026.8  11.8  12.0 999.0 99.0 99.00
2012 01 04 05 50 329  7.7  9.5  2.82 12.12  8.81 282 1026.5  11.8  12.0 999.0 99.0 99.00
2012 01 04 06 50 332  6.8  8.1  2.92 13.79  9.16 297 1026.4  11.8  12.1 999.0 99.0 99.00
2012 01 04 07 50 329  6.9  8.6  2.87 12.90  9.02 291 1026.0  11.7  12.1 999.0 99.0 99.00
2012 01 04 08 50 338  5.7  6.9  3.07 12.90  9.40 287 1025.7  11.8  12.1 999.0 99.0 99.00
2012 01 04 09 50 337  5.4  6.5  2.57 12.90  8.96 283 1025.6  11.9  12.1 999.0 99.0 99.00
2012 01 04 10 50 348  4.9  5.7  2.46 14.81  9.04 307 1025.7  11.9  12.1 999.0 99.0 99.00
2012 01 04 11 50 355  4.3  5.2  2.68 13.79  9.86 282 1025.5  12.1  12.1 999.0 99.0 99.00
2012 01 04 12 50 334  4.5  5.5  2.33 13.79  9.21 287 1025.9  11.9  12.1 999.0 99.0 99.00
2012 01 04 13 50   3  7.4  8.8  2.41 13.79  9.17 274 1026.4  12.2  12.2 999.0 99.0 99.00
2012 01 04 14 50 319  5.8  7.7  2.59 13.79  9.21 293 1027.3  12.0  12.2 999.0 99.0 99.00
2012 01 04 15 50 334  5.8  6.9  2.44 12.12  8.55 282 1027.5  12.0  12.2 999.0 99.0 99.00
2012 01 04 16 50 324  8.8 10.3  2.47 12.12  8.78 288 1028.2  12.1  12.2 999.0 99.0 99.00
2012 01 04 17 50 332  8.3 10.1  2.29 12.90  7.92 287 1028.9  12.3  12.2 999.0 99.0 99.00
2012 01 04 18 50 344  6.5  7.5  2.49 12.90  8.26 299 1028.8  12.3  12.2 999.0 99.0 99.00
2012 01 04 19 50  18  5.9  6.9  2.44 12.90  8.42 301 1027.7  12.2  12.2 999.0 99.0 99.00
2012 01 04 20 50   8  5.5  6.4  2.65 12.12  9.02 292 1026.7  12.5  12.2 999.0 99.0 99.00
2012 01 04 21 50 322  5.8  7.1  2.42 12.90  9.27 290 1026.2  12.2  12.2 999.0 99.0 99.00
2012 01 04 22 50 326  5.8  7.0  2.41 12.90  9.02 293 1025.8  12.0  12.1 999.0 99.0 99.00
2012 01 04 23 50 320  6.2  7.1  2.63 12.90  9.72 294 1025.4  12.4  12.1 999.0 99.0 99.00
2012 01 05 00 50 314  6.1  7.2  2.69 12.12  9.70 290 1025.6  12.3  12.1 999.0 99.0 99.00
2012 01 05 01 50 310  8.5 10.2  2.76 11.43  9.34 281 1026.0  12.8  12.0 999.0 99.0 99.00
2012 01 05 02 50 299  8.8 10.4  2.82 12.90  8.82 285 1026.6  12.1  12.0 999.0 99.0 99.00
2012 01 05 03 50 303  8.5 10.4  3.06 12.12  8.74 285 1027.0  12.2  11.9 999.0 99.0 99.00
2012 01 05 04 50 315  9.8 11.5  2.92 12.90  8.34 282 1026.7  12.0  11.9 999.0 99.0 99.00
2012 01 05 05 50 314 12.1 15.0  2.86 12.90  7.90 289 1026.9  11.5  11.9 999.0 99.0 99.00
2012 01 05 06 50 322 11.7 13.8  3.13 12.12  7.49 292 1027.1  11.6  11.9 999.0 99.0 99.00
2012 01 05 07 50 327  9.7 12.0  3.19 12.90  7.64 276 1027.2  11.5  11.9 999.0 99.0 99.00
2012 01 05 08 50 322  9.3 12.2  3.40 12.12  7.98 290 1027.3  11.2  11.9 999.0 99.0 99.00
2012 01 05 09 50 332  9.4 12.2  3.86 13.79  8.82 285 1027.3  11.6  11.9 999.0 99.0 99.00
2012 01 05 10 50 337  9.4 11.3  3.51 12.12  8.09 291 1027.1  11.5  11.9 999.0 99.0 99.00
2012 01 05 11 50 333  8.6 10.6  3.47 12.90  8.26 287 1026.9  11.6  11.9 999.0 99.0 99.00
2012 01 05 12 50 334  6.2  7.7  3.59 12.12  8.83 290 1026.6  11.9  11.8 999.0 99.0 99.00
2012 01 05 13 50 323  6.2  7.4  3.73 13.79  9.24 282 1026.1  11.9  11.8 999.0 99.0 99.00
2012 01 05 14 50 319  5.9  7.6  3.72 13.79  9.25 277 1026.2  12.0  11.8 999.0 99.0 99.00
2012 01 05 15 50 320  7.4  9.1  3.84 13.79  9.74 278 1026.1  11.8  11.7 999.0 99.0 99.00
2012 01 05 16 50 315  8.3  9.9  3.60 14.81  9.19 271 1026.6  11.9  11.7 999.0 99.0 99.00
2012 01 05 17 50 315  9.6 12.1  3.99 13.79  9.65 282 1026.8  11.8  11.7 999.0 99.0 99.00
2012 01 05 18 50 324  8.3 10.7  3.73 13.79  8.96 287 1026.8  11.5  11.7 999.0 99.0 99.00
2012 01 05 19 50 324  7.8 10.0  3.79 13.79  9.13 282 1025.8  11.5  11.8 999.0 99.0 99.00
2012 01 05 20 50 320  8.5 10.5  3.89 14.81  9.06 283 1024.8  11.8  11.8 999.0 99.0 99.00
2012 01 05 21 50 319  8.8 11.6  3.95 13.79  9.06 285 1024.1  12.0  11.8 999.0 99.0 99.00
2012 01 05 22 50 314  9.7 11.5  4.00 14.81  9.31 292 1023.5  12.3  11.8 999.0 99.0 99.00
2012 01 05 23 50 306 10.7 13.0  4.20 13.79  9.30 287 1023.1  12.2  11.8 999.0 99.0 99.00
2012 01 06 00 50 307 10.8 13.5  4.36 14.81  9.43 297 1023.0  12.0  11.8 999.0 99.0 99.00
2012 01 06 01 50 310 10.2 12.5  4.18 14.81  8.93 290 1022.9  11.8  11.8 999.0 99.0 99.00
2012 01 06 02 50 309  9.6 12.0  4.60 14.81  9.81 292 1022.8  11.6  11.7 999.0 99.0 99.00
2012 01 06 03 50 309 10.6 12.8  4.39 17.39  9.47 303 1022.7  11.3  11.7 999.0 99.0 99.00
2012 01 06 04 50 304 10.1 12.6  4.37 17.39  8.88 291 1022.5  11.1  11.6 999.0 99.0 99.00
